"","tenure.0.5","tenure.18","tenure.6.17","InternetService.DSL","InternetService.Fiber.optic","InternetService.No","OnlineSecurity.No","OnlineSecurity.No.internet.service","OnlineSecurity.Yes","OnlineBackup.No","OnlineBackup.No.internet.service","OnlineBackup.Yes","DeviceProtection.No","DeviceProtection.No.internet.service","DeviceProtection.Yes","TechSupport.No","TechSupport.No.internet.service","TechSupport.Yes","StreamingTV.No","StreamingTV.No.internet.service","StreamingTV.Yes","StreamingMovies.No","StreamingMovies.No.internet.service","StreamingMovies.Yes","Contract.Month.to.month","Contract.One.year","Contract.Two.year","PaymentMethod.Bank.transfer.(automatic)","PaymentMethod.Credit.card.(automatic)","PaymentMethod.Electronic.check","PaymentMethod.Mailed.check","Partner","Dependents","PaperlessBilling","MonthlyCharges","TotalCharges","tenure.cont","target"
"1",1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,-1.16024053891536,-1.81097627794298,-1.27735389150701,"No"
"2",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-0.25961050958946,0.254259475773304,0.0663227101674537,"No"
"3",1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,-0.362634608885044,-1.38699178614547,-1.23663641872899,"Yes"
"4",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-0.746482462712135,0.233204918890019,0.514214910725608,"No"
"5",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.197351221157077,-1.24968106542921,-1.23663641872899,"Yes"
"6",0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1.15946337425615,-0.353183326856998,-0.99233158206091,"Yes"
"7",0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0.80884910084699,0.279581861482593,-0.422286963168714,"No"
"8",0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1.16356389695716,-0.9300801859879,-0.910896636504882,"No"
"9",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1.33061631340849,0.664566775939931,-0.17798212650063,"Yes"
"10",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,-0.286197373923805,0.790316453054219,1.20641194795185,"No"
