kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
10797460;K00752.01;Kepler-227 b;CONFIRMED;CANDIDATE;1;0;0;0;0;9.48803557;2.78E-05;-2.78E-05;146;318;-146;2.9575;0.0819;-0.0819;6.16E+02;1.95E+01;-1.95E+01;2.26;2.60E-01;-1.50E-01;793;;;93.59;29.45;-16.65;35.8;5455;81;-81;4467;64;-96;927;105;-61;291.93423;48.141651;15.347
10797460;K00752.02;Kepler-227 c;CONFIRMED;CANDIDATE;969;0;0;0;0;54.4183827;2.48E-04;-2.48E-04;586;59;-443;4507;116;-116;8.75E+02;3.55E+01;-3.55E+01;2.83;3.20E-01;-1.90E-01;443;;;9.11;2.87;-1.62;25.8;5455;81;-81;4467;64;-96;927;105;-61;291.93423;48.141651;15.347
10811496;K00753.01;;CANDIDATE;CANDIDATE;0;0;0;0;0;19.89913995;1.49E-05;-1.49E-05;969;5126;-77;1.7822;0.0341;-0.0341;1.08E+04;1.71E+02;-1.71E+02;14.6;3.92E+00;-1.31E+00;638;;;39.3;31.04;-10.49;76.3;5853;158;-176;4544;44;-176;868;233;-78;297.00482;48.134129;15.436
10848459;K00754.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;1.736952453;2.63E-07;-2.63E-07;1276;115;-92;2.40641;0.00537;-0.00537;8.08E+03;1.28E+01;-1.28E+01;33.46;8.50E+00;-2.83E+00;1395;;;891.96;668.95;-230.35;505.6;5805;157;-174;4564;53;-168;791;201;-67;285.53461;48.28521;15.597
10854555;K00755.01;Kepler-664 b;CONFIRMED;CANDIDATE;1;0;0;0;0;2.525591777;3.76E-06;-3.76E-06;701;235;-478;1.6545;42;-42;6.03E+02;1.69E+01;-1.69E+01;2.75;8.80E-01;-3.50E-01;1406;;;926.16;874.33;-314.24;40.9;6031;169;-211;4438;0.07;-0.21;1046;334;-133;288.75488;48.2262;15.509
10872983;K00756.01;Kepler-228 d;CONFIRMED;CANDIDATE;1;0;0;0;0;11.09432054;2.04E-05;-2.04E-05;538;0.03;-428;4.5945;61;-61;1.52E+03;2.42E+01;-2.42E+01;3.9;1.27E+00;-4.20E-01;835;;;114.81;112.85;-36.7;66.5;6046;189;-232;4486;54;-229;972;315;-105;296.28613;48.22467;15.714
10872983;K00756.02;Kepler-228 c;CONFIRMED;CANDIDATE;1;0;0;0;0;4.13443512;1.05E-05;-1.05E-05;762;139;-532;3.1402;0.0673;-0.0673;6.86E+02;1.87E+01;-1.87E+01;2.77;9.00E-01;-3.00E-01;1160;;;427.65;420.33;-136.7;40.2;6046;189;-232;4486;54;-229;972;315;-105;296.28613;48.22467;15.714
10872983;K00756.03;Kepler-228 b;CONFIRMED;CANDIDATE;992;0;0;0;0;2.56658897;1.78E-05;-1.78E-05;755;212;-523;2429;165;-165;2.27E+02;1.68E+01;-1.68E+01;1.59;5.20E-01;-1.70E-01;1360;;;807.74;793.91;-258.2;15;6046;189;-232;4486;54;-229;972;315;-105;296.28613;48.22467;15.714
6721123;K00114.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;7.36178958;2.13E-05;-2.13E-05;1169;7133;-44;5022;136;-136;2.34E+02;5.80E+00;-5.80E+00;39.21;6.45E+00;-9.67E+00;1342;;;767.22;349.28;-365.49;47.7;6227;111;-124;3986;182;-98;1958;322;-483;298.86435;42.151569;12.66
10910878;K00757.01;Kepler-229 c;CONFIRMED;CANDIDATE;1;0;0;0;0;16.06864674;1.09E-05;-1.09E-05;52;262;-52;3.5347;0.0241;-0.0241;4.91E+03;3.33E+01;-3.33E+01;5.76;2.20E-01;-4.90E-01;600;;;30.75;4.46;-6.66;161.9;5031;75;-83;4485;83;-28;848;33;-72;286.99948;48.37579;15.841
